Date,Description,Amount,Category
02/09/1984,"Kerr, Douglas and Fletcher",1050.22,Business Services-Mailing & Shipping
12/22/1983,"Taylor, Garza and Mayo",2296.12,Merchandise & Supplies-Department Stores
02/01/1987,"Berg, Dixon and Crawford",-4470.71,Merchandise & Supplies-Hardware Supplies
07/26/2008,Yang Group,-4830.55,Restaurant-Restaurant
09/26/2007,Brooks-Mitchell,-2399.79,Communications-Other Telecom
12/27/2010,Young-Williams,-4278.37,Merchandise & Supplies-Electronics Stores
01/04/2014,Carter-Blankenship,4977.3,Merchandise & Supplies-Furnishing
07/14/2000,"Anderson, Terrell and Bailey",-4971.85,Other-Charities
11/22/1986,"Reynolds, Jones and Bell",4861.76,Merchandise & Supplies-Book Stores
02/19/2012,"Hendrix, Oconnor and Robinson",305.88,Merchandise & Supplies-Groceries
09/20/1984,"Yang, King and Anderson",1556.38,Transportation-Fuel
07/22/2020,Wilson Ltd,-2118.31,Merchandise & Supplies-Mail Order
06/09/2023,"Gutierrez, Benton and Miller",1239.69,Merchandise & Supplies-Internet Purchase
08/03/2022,Thornton-Herrera,-2354.2,Communications-Other Telecom
02/28/1973,Moore-Oliver,2702.75,Merchandise & Supplies-Department Stores
07/06/2006,"Johnson, Howe and Owens",4514.11,Merchandise & Supplies-Department Stores
09/22/2017,"Hanson, Stewart and Bauer",2431.07,Business Services-Mailing & Shipping
08/22/1971,Johnson-Austin,-4990.05,Transportation-Auto Services
02/13/2009,Baker-Stafford,858.26,Business Services-Office Supplies
09/06/2020,"Fisher, Jackson and Nichols",-1921.68,Communications-Cable & Internet Comm
07/19/2009,"Austin, Garcia and Fox",-562.03,Business Services-Mailing & Shipping
08/03/1997,Hernandez Group,3854.38,Communications-Other Telecom
03/23/1976,Holmes Group,-4234.0,Communications-Other Telecom
07/07/2014,Castro PLC,-343.98,Merchandise & Supplies-General Retail
03/23/2017,Hanson-Buckley,-2435.23,Entertainment-Associations
11/02/1979,Kim-Rodriguez,-346.94,Business Services-Professional Services
02/01/1991,"Ford, Olsen and Roberts",2606.44,Business Services-Mailing & Shipping
07/06/1976,"Delacruz, Lee and Herrera",-3790.85,Other-Miscellaneous
11/02/1974,"Jefferson, Graves and Mitchell",-1397.81,Entertainment-Associations
12/13/1981,"Williams, Garcia and Walter",3522.7,Transportation-Fuel
08/16/1999,Orozco Ltd,-1843.08,Business Services-Office Supplies
10/28/2012,Watson LLC,2947.33,Merchandise & Supplies-Internet Purchase
09/19/1973,Wyatt-Miller,237.8,Business Services-Professional Services
05/09/2016,Bowers PLC,1831.23,Merchandise & Supplies-Mail Order
01/26/1975,"Williams, Sutton and Johnson",4493.45,Merchandise & Supplies-Groceries
06/22/2019,Wheeler Inc,143.54,Merchandise & Supplies-Hardware Supplies
10/12/2015,Holmes Group,-3151.55,Business Services-Mailing & Shipping
10/29/1995,Hood Inc,-505.27,Merchandise & Supplies-Furnishing
02/21/2009,Johnson PLC,2209.57,Merchandise & Supplies-Clothing Stores
06/08/2022,Sandoval Ltd,259.58,Transportation-Auto Services
03/20/1979,Mcknight LLC,2678.97,Communications-Cable & Internet Comm
05/18/1984,"Bradley, Cooper and Sanders",2761.79,Communications-Other Telecom
05/06/2020,Tyler Inc,4147.25,Restaurant-Bar & Café
07/29/2006,Taylor Ltd,2117.15,Merchandise & Supplies-Computer Supplies
06/05/1989,Stephenson PLC,-551.76,Merchandise & Supplies-Electronics Stores
01/10/1971,Cardenas-Williams,-1438.89,Merchandise & Supplies-Wholesale Stores
02/06/1996,Jones and Sons,-2844.76,Entertainment-General Attractions
01/02/2012,"Nelson, Sanders and Callahan",-2257.04,Transportation-Parking Charges
03/07/2011,"Miller, Young and Smith",-2139.52,Communications-Other Telecom
11/15/2013,"Mcdonald, Moore and Mayer",4311.22,Merchandise & Supplies-Electronics Stores
02/01/2023,"Wilcox, Parker and Wilson",3392.57,Transportation-Parking Charges
03/03/1987,Mcgee-Martin,-1910.79,Communications-Cable & Internet Comm
