Date,Description,Amount,Category
01/04/1974,Murray PLC,1124.0,Other-Miscellaneous
06/20/2018,"Lee, Warner and Mcclain",-3006.83,Merchandise & Supplies-General Retail
10/08/2021,Bowen-Delgado,3614.2,Entertainment-General Attractions
03/10/1983,Smith-Johnston,2888.47,Business Services-Mailing & Shipping
08/24/1972,Huffman LLC,1049.36,Merchandise & Supplies-Book Stores
12/22/1990,"Diaz, Shelton and Gutierrez",-160.56,Merchandise & Supplies-Furnishing
02/24/1973,Gonzalez-Russo,-958.08,Communications-Other Telecom
08/16/1980,Hobbs-Wilcox,-2388.8,Merchandise & Supplies-Internet Purchase
02/28/1995,Lee Ltd,1936.35,Other-Miscellaneous
01/15/2009,Nash PLC,-2270.52,Merchandise & Supplies-Book Stores
08/03/2015,Hull and Sons,-3254.07,Business Services-Internet Services
10/22/2023,"Williams, Willis and Maddox",-2183.15,Merchandise & Supplies-Pharmacies
05/02/2008,Knight-Hamilton,-3530.52,Merchandise & Supplies-Wholesale Stores
07/04/2013,Moore-Anderson,-3865.58,Other-Charities
05/21/2020,Alexander and Sons,-1298.92,Merchandise & Supplies-Clothing Stores
11/20/2005,Cooper-Wallace,-4305.64,Merchandise & Supplies-Department Stores
09/21/1986,Murray-Santiago,4376.38,Business Services-Professional Services
09/24/2023,Wilkerson LLC,3005.42,Transportation-Parking Charges
02/23/1974,Pena-Hernandez,-2109.14,Business Services-Internet Services
10/12/1998,Mcdonald Ltd,1464.17,Communications-Other Telecom
12/05/2000,Gray PLC,1141.06,Merchandise & Supplies-Wholesale Stores
11/09/2002,"Page, Boone and Ruiz",547.66,Merchandise & Supplies-Groceries
09/03/1986,Harvey-Davis,1798.59,Communications-Other Telecom
10/21/1987,Stout Group,2112.25,Communications-Other Telecom
05/01/2004,Bradley-Ryan,2092.01,Communications-Other Telecom
01/25/2005,Wallace-Davis,2397.27,Business Services-Mailing & Shipping
12/21/2005,Keith and Sons,1997.13,Business Services-Professional Services
12/16/1994,"Norris, Hunter and Brooks",-1824.65,Business Services-Office Supplies
03/17/2016,"Hernandez, Richard and Middleton",-1192.88,Merchandise & Supplies-Mail Order
07/21/2015,Oneill Inc,4614.28,Merchandise & Supplies-General Retail
01/28/1980,Stark PLC,-773.97,Business Services-Other Services
02/06/2012,Martinez-Willis,1633.02,Merchandise & Supplies-General Retail
07/16/1994,Kennedy LLC,4237.28,Business Services-Internet Services
06/08/2007,Hoffman LLC,-4792.23,Transportation-Fuel
11/27/1983,Bruce and Sons,1052.57,Communications-Other Telecom
09/03/1992,"Carpenter, Clark and Ray",635.5,Business Services-Internet Services
09/30/2009,"Carson, Hernandez and Murray",4387.24,Other-Miscellaneous
12/15/1977,Fox-Jones,-1668.23,Transportation-Parking Charges
11/12/2022,"Schultz, Bautista and Maldonado",-1033.45,Restaurant-Restaurant
09/25/2009,Martin-Reese,-3209.19,Business Services-Other Services
05/30/2002,Fisher Inc,3134.31,Merchandise & Supplies-Department Stores
04/29/2002,Stone-Reynolds,-2012.4,Merchandise & Supplies-Clothing Stores
09/25/2020,Wilson-Sanchez,-669.75,Communications-Cable & Internet Comm
08/24/2010,Spencer PLC,-2491.77,Merchandise & Supplies-Department Stores
07/07/2021,Sanchez PLC,-4051.46,Merchandise & Supplies-Clothing Stores
05/02/1972,"Obrien, Bolton and Lee",4329.24,Other-Miscellaneous
